﻿Name,Frequency,CountryCode
CEZMİ,1658,TR
YUNUS EMRE,1657,TR
MİKTAT,1654,TR
MUHAMMET,1651,SY
MURAT,1651,DE
VEZİR,1639,TR
BİŞAR,1638,TR
MEDET,1636,TR
ENİS,1624,TR
İSMAİL,1623,BG
MEHMET SABRİ,1610,TR
ABDÜLKERİM,1588,TR
ERGÜL,1581,TR
YUSUF,1580,DE
KAMBER,1576,TR
MEHMET TEVFİK,1575,TR
ERAY,1570,TR
GÜNER,1569,TR
TAYFUR,1569,TR
FERAT,1553,TR
MEHMET MUSTAFA,1544,TR
MARUF,1536,TR
MEVLUT,1536,TR
LUTFİ,1530,TR
ABDULGANİ,1529,TR
SULTAN,1525,TR
RAMAZAN,1523,DE
GÜRCAN,1514,TR
HABİL,1509,TR
ZEYNEL ABİDİN,1506,TR
KORAY,1504,TR
EVREN,1497,TR
ALTAN,1479,TR
MUHAMMER,1472,TR
YAHYA,1471,SY
MUHİDDİN,1465,TR
SÜREYYA,1463,TR
OZAN,1462,TR
HATİP,1458,TR
ÖZDEMİR,1455,TR
NEŞAT,1454,TR
ABDO,1442,SY
VELİD,1440,SY
BAHADDİN,1436,TR
MİRZA,1432,TR
POLAT,1431,TR
MİRZE,1411,TR
ABDULMENAF,1410,TR
ABDULCEBBAR,1399,TR
DURSUNALİ,1399,TR
ÜMMET,1385,TR
TİMUR,1380,TR
NİZAM,1374,TR
ZÜLFİ,1373,TR
ŞADİ,1370,TR
CEMAL,1369,SY
FETHULLAH,1368,TR
AYTAÇ,1363,TR
MALİK,1360,TR
SÜLEYMAN,1358,DE
FEYYAZ,1356,TR
FELEMEZ,1354,TR
ABDULGAFUR,1352,TR
EJDER,1348,TR
İBRAHİM ETHEM,1347,TR
FETİ,1341,TR
SÜLEYMAN,1341,SY
SERACETTİN,1337,TR
AŞUR,1327,TR
VEYSAL,1320,TR
İDİRİS,1320,TR
NECMEDDİN,1317,TR
ÖMER,1317,DE
RESÜL,1312,TR
MAHSUM,1310,TR
SEYHAN,1304,TR
OSMAN,1298,SY
MANSUR,1296,TR
ÜNSAL,1294,TR
SEYİT MEHMET,1291,TR
MÜMTAZ,1288,TR
FETULLAH,1286,TR
TAYYİP,1282,TR
ALAEDDİN,1275,TR
ERSOY,1273,TR
AGİT,1269,TR
TEMUR,1266,TR
İSA,1266,SY
MAHFUZ,1265,TR
SEÇKİN,1264,TR
OSMAN,1260,BG
ABDULRAHMAN,1254,SY
TEYFİK,1252,TR
MELİH,1250,TR
