Surname,Frequency
ŞAN,2162
KAÇAN,2152
İBİŞ,2152
GÜLERYÜZ,2151
SEMİZ,2149
ERİŞ,2145
GÜNAL,2143
ALADAĞ,2141
KOZAN,2135
ÖZKURT,2135
BAYHAN,2134
DURGUT,2131
DEMİRKAYA,2129
KARAYEL,2129
YETİM,2120
ALTUNDAĞ,2116
BAKAN,2108
COŞGUN,2106
DURGUN,2104
AYTAÇ,2100
NALBANT,2098
ÜLGER,2093
DEMİRKAN,2092
BİLGİ,2087
KALAY,2080
GÖNEN,2076
BİLGİLİ,2073
NERGİZ,2069
TÜZÜN,2066
ÇEÇEN,2066
VARDAR,2065
ÖĞÜT,2063
KEÇECİ,2062
DURNA,2058
TEMUR,2049
ATAÇ,2046
YETKİN,2046
AYDOĞMUŞ,2043
ÖZKARA,2037
BOZTEPE,2026
AKTEPE,2024
SEÇKİN,2023
ŞAHBAZ,2019
ERDİNÇ,2014
TUNCAY,2014
SAKARYA,2005
UZUNOĞLU,2003
YEL,1998
İNANÇ,1990
ÇETİNTAŞ,1989
AKA,1978
TEKELİ,1978
DÜLGER,1974
GÜRCAN,1974
GEZGİN,1973
BAKAR,1971
ŞEKERCİ,1970
KULA,1966
TÜRE,1959
İLTER,1958
OĞUR,1955
YAPRAK,1955
ARDA,1949
YENİ,1944
GÖKCE,1941
ERKEK,1938
KARATEPE,1935
MENTEŞ,1934
MUSLU,1934
GENCER,1928
KOTAN,1923
ORMAN,1917
ERDOĞMUŞ,1916
GÖKTÜRK,1915
BATMAZ,1908
ALEMDAR,1906
ŞAŞMAZ,1904
SİVRİ,1903
TALAY,1900
TÜFEKÇİ,1899
ASAN,1894
DEMİRER,1888
ÇİFCİ,1886
TURĞUT,1885
ERARSLAN,1881
KOÇOĞLU,1875
ZEREN,1873
AKBAL,1868
LEVENT,1864
TİMUR,1864
CANTÜRK,1861
DAĞDEVİREN,1860
ELİBOL,1860
ERYİĞİT,1855
KARAKOYUN,1854
GÜLCAN,1852
TOPTAŞ,1851
AYKAÇ,1850
KALYONCU,1850
ŞENGÜN,1848
GÜNEL,1843
ŞAHİNER,1842
ALTUNBAŞ,1835
OZAN,1824
DOĞU,1823
TAYLAN,1823
BAŞKAYA,1820
YAZGAN,1819
ÇOLAKOĞLU,1810
KARANFİL,1808
KONAK,1808
NAR,1808
ÇAYLAK,1801
ARAT,1799
BAĞ,1799
EGE,1793
SERTKAYA,1789
KİBAR,1786
KESGİN,1783
ÖZDİL,1783
SEVİMLİ,1779
LAÇİN,1771
ALGÜL,1768
YALÇİN,1760
SEVİNDİK,1759
ÜZÜM,1759
HAZAR,1758
SEKMEN,1758
DİKİCİ,1757
DEMİRBİLEK,1748
KÖYLÜ,1745
MALKOÇ,1745
OKAN,1744
ÖZASLAN,1741
CANER,1738
GÜÇ,1734
HATİPOĞLU,1733
SÖYLER,1732
BOZTAŞ,1731
ARSLANTAŞ,1730
ALACA,1728
YAŞA,1728
CANBOLAT,1727
CİNGÖZ,1726
ARMAĞAN,1717
ÖNEN,1715
YİGİT,1714
TAŞAR,1712
KOL,1709
BİLGEN,1704
TEKDEMİR,1704
BOZKAYA,1703
BAYAT,1702
PİŞKİN,1702
BAŞKAN,1701
DAŞTAN,1700
ERBİL,1699
BOĞA,1695
BAŞKURT,1692
AKKAN,1691
SÖKMEN,1689
TABAK,1689
SAY,1685
MEYDAN,1681
KARABOĞA,1675
ZOR,1674
TUĞRUL,1673
TİLKİ,1669
YURTSEVER,1669
DELİBAŞ,1666
MERMER,1657
TÜTÜNCÜ,1657
KESİCİ,1656
ÇİĞDEM,1648
TÜMER,1646
ORDU,1643
DEMİROĞLU,1641
SARAÇOĞLU,1641
DURUKAN,1638
GÖKGÖZ,1638
BAKİ,1637
İŞCAN,1636
KAYACAN,1635
ÖZDAMAR,1629
DİLER,1623
OKAY,1623
TAMER,1613
BAŞOĞLU,1610
ÇELİKER,1608
İŞLEK,1608
YEŞİLDAĞ,1606
YÜRÜK,1604
GEÇER,1602
TAŞAN,1601
AYÇİÇEK,1600
ÇELENK,1600
BATTAL,1594
TEZEL,1594
ORAN,1593
ATABEY,1583
ÜNER,1582
GÜNERİ,1577
KART,1577
AKTAY,1576
GÖKTEPE,1576
HANÇER,1575
İZCİ,1573
KURBAN,1570
KANTAR,1568
YALMAN,1568
ULUS,1563
BİLMEZ,1560
ŞENSOY,1560
CERAN,1559
BACAK,1557
TÜYSÜZ,1557
VATANSEVER,1555
SUNA,1554
ASLANTAŞ,1553
GÖKÇEN,1553
KARAYİĞİT,1551
ACUN,1549
AFŞAR,1548
BULDUK,1545
DEMİRÖZ,1545
KARAN,1545
DUYAR,1543
ERSAN,1541
ZEYREK,1538
ACER,1537
UZUNER,1536
ÖZYÜREK,1533
KOCATÜRK,1529
ATAN,1527
TANER,1525
ÖKTEN,1525
BÜTÜN,1524
KÜPELİ,1522
BABAT,1520
YİLMAZ,1520
KARABAĞ,1519
GÖRMEZ,1518
DEDEOĞLU,1517
KAHRİMAN,1517
KARAKÖSE,1517
NACAR,1516
ELMA,1513
KURAL,1510
ÜLGEN,1510
ACET,1509
TUNÇEL,1509
SÖZER,1504
ERİM,1503
GÖZEL,1501
SERBEST,1495
KAYAALP,1494
ALTUĞ,1486
GÜRDAL,1485
ÇAL,1483
ERKOÇ,1482
GÜLHAN,1481
ATABAY,1480
ÇELİKEL,1479
OFLAZ,1478
GÜDER,1477
BALKAYA,1476
AĞAR,1472
